Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj-single,32,4,Neigh,0.012855,0.012961,0.01322,0.1,7.18
in.lj-single,32,4,Comm,0.026929,0.028591,0.029756,0.6,15.85
in.lj-single,32,4,Output,5.8021e-05,6.3936e-05,7.3839e-05,0.0,0.04
in.lj-single,32,4,Modify,0.0079791,0.0088959,0.0096376,0.7,4.93
in.lj-single,32,4,Other,,0.002333,,,1.29
in.lj-single,32,8,Pair,0.061029,0.063272,0.067117,0.9,64.00
in.lj-single,32,8,Neigh,0.0065301,0.0066851,0.0070649,0.2,6.76
in.lj-single,32,8,Comm,0.020029,0.023974,0.026483,1.6,24.25
in.lj-single,32,8,Output,4.1581e-05,4.5286e-05,5.3031e-05,0.0,0.05
in.lj-single,32,8,Modify,0.0035186,0.004039,0.0045146,0.6,4.09
in.lj-single,32,8,Other,,0.000847,,,0.86
in.lj-single,32,16,Pair,0.030333,0.032602,0.038498,1.3,54.08
in.lj-single,32,16,Neigh,0.0034368,0.0036952,0.0041452,0.4,6.13
in.lj-single,32,16,Comm,0.015111,0.021733,0.024375,1.8,36.05
in.lj-single,32,16,Output,5.2781e-05,5.7125e-05,6.5497e-05,0.0,0.09
in.lj-single,32,16,Modify,0.0015453,0.0016913,0.001903,0.3,2.81
in.lj-single,32,16,Other,,0.0005038,,,0.84
in.lj-single,32,32,Pair,0.012376,0.016385,0.021802,1.7,41.27
in.lj-single,32,32,Neigh,0.0014883,0.0019901,0.0027689,0.6,5.01
in.lj-single,32,32,Comm,0.01363,0.020057,0.024722,1.8,50.52
in.lj-single,32,32,Output,2.6159e-05,0.00012956,0.00026512,0.0,0.33
in.lj-single,32,32,Modify,0.00065744,0.00088492,0.0012027,0.0,2.23
in.lj-single,32,32,Other,,0.0002558,,,0.64
in.lj-single,32,64,Pair,0.0067344,0.0084082,0.013517,1.6,30.11
in.lj-single,32,64,Neigh,0.00089159,0.0011495,0.0020487,0.7,4.12
in.lj-single,32,64,Comm,0.011152,0.017569,0.019423,1.3,62.92
in.lj-single,32,64,Output,2.9428e-05,0.00010035,0.0001867,0.0,0.36
in.lj-single,32,64,Modify,0.00043499,0.00053641,0.0008997,0.0,1.92
in.lj-single,32,64,Other,,0.0001601,,,0.57
in.lj-single,256,2,Pair,1.8614,1.9109,1.9604,3.6,77.22
in.lj-single,256,2,Neigh,0.16013,0.16766,0.17519,1.8,6.77
in.lj-single,256,2,Comm,0.13956,0.20159,0.26363,13.8,8.15
in.lj-single,256,2,Output,0.00026841,0.00027477,0.00028112,0.0,0.01
in.lj-single,256,2,Modify,0.15571,0.15988,0.16406,1.0,6.46
in.lj-single,256,2,Other,,0.03446,,,1.39
in.lj-single,256,4,Pair,1.0217,1.0287,1.0326,0.4,74.57
in.lj-single,256,4,Neigh,0.09394,0.094141,0.094358,0.0,6.82
in.lj-single,256,4,Comm,0.1164,0.13559,0.15868,4.6,9.83
in.lj-single,256,4,Output,0.00034174,0.00036811,0.00039447,0.0,0.03
in.lj-single,256,4,Modify,0.084512,0.098254,0.11139,3.5,7.12
in.lj-single,256,4,Other,,0.02238,,,1.62
in.lj-single,256,8,Pair,0.50313,0.50812,0.51329,0.5,72.50
in.lj-single,256,8,Neigh,0.047697,0.048314,0.049112,0.2,6.89
in.lj-single,256,8,Comm,0.071652,0.086423,0.097829,3.6,12.33
in.lj-single,256,8,Output,0.00019305,0.0002162,0.00022946,0.0,0.03
in.lj-single,256,8,Modify,0.040224,0.045986,0.054169,2.7,6.56
in.lj-single,256,8,Other,,0.01178,,,1.68
in.lj-single,256,16,Pair,0.25197,0.25521,0.25927,0.4,71.06
in.lj-single,256,16,Neigh,0.024509,0.024782,0.025413,0.1,6.90
in.lj-single,256,16,Comm,0.045704,0.052982,0.058334,1.7,14.75
in.lj-single,256,16,Output,0.00012926,0.00015831,0.00022079,0.0,0.04
in.lj-single,256,16,Modify,0.017463,0.019403,0.022264,1.1,5.40
in.lj-single,256,16,Other,,0.006607,,,1.84
in.lj-single,256,32,Pair,0.096728,0.11801,0.12381,2.5,70.33
in.lj-single,256,32,Neigh,0.010024,0.012351,0.013174,0.8,7.36
in.lj-single,256,32,Comm,0.023872,0.030035,0.054771,5.8,17.90
in.lj-single,256,32,Output,6.1198e-05,6.9322e-05,0.00010407,0.0,0.04
in.lj-single,256,32,Modify,0.0047361,0.0057982,0.0064577,0.5,3.46
in.lj-single,256,32,Other,,0.001536,,,0.92
in.lj-single,256,64,Pair,0.049261,0.058458,0.068089,2.3,59.23
in.lj-single,256,64,Neigh,0.0051295,0.0061884,0.0069532,0.8,6.27
in.lj-single,256,64,Comm,0.019408,0.03038,0.041011,3.7,30.78
in.lj-single,256,64,Output,5.0841e-05,0.00013034,0.00027327,0.0,0.13
in.lj-single,256,64,Modify,0.0023514,0.002848,0.0033217,0.5,2.89
in.lj-single,256,64,Other,,0.0006898,,,0.70
in.lj-single,864,2,Pair,5.6316,5.6712,5.7108,1.7,79.43
in.lj-single,864,2,Neigh,0.47686,0.49311,0.50935,2.3,6.91
in.lj-single,864,2,Comm,0.35825,0.41488,0.47152,8.8,5.81
in.lj-single,864,2,Output,0.0010471,0.0011227,0.0011982,0.2,0.02
in.lj-single,864,2,Modify,0.47348,0.47389,0.4743,0.1,6.64
in.lj-single,864,2,Other,,0.08602,,,1.20
in.lj-single,864,4,Pair,2.9609,3.0479,3.1596,4.1,75.97
in.lj-single,864,4,Neigh,0.26283,0.2686,0.27661,1.0,6.70
in.lj-single,864,4,Comm,0.24185,0.36844,0.45291,12.9,9.18
in.lj-single,864,4,Output,0.00055776,0.00056856,0.00058894,0.0,0.01
in.lj-single,864,4,Modify,0.25888,0.27537,0.28807,2.1,6.86
in.lj-single,864,4,Other,,0.05089,,,1.27
in.lj-single,864,8,Pair,1.6166,1.6712,1.7466,3.6,72.29
in.lj-single,864,8,Neigh,0.14319,0.14804,0.15558,1.0,6.40
in.lj-single,864,8,Comm,0.19186,0.28999,0.35006,9.7,12.55
in.lj-single,864,8,Output,0.00030729,0.00032682,0.00034084,0.0,0.01
in.lj-single,864,8,Modify,0.16044,0.16951,0.18202,2.2,7.33
in.lj-single,864,8,Other,,0.03258,,,1.41
in.lj-single,864,16,Pair,0.89675,0.90269,0.9066,0.3,71.01
in.lj-single,864,16,Neigh,0.080295,0.080941,0.08324,0.2,6.37
in.lj-single,864,16,Comm,0.13618,0.15187,0.16561,2.1,11.95
in.lj-single,864,16,Output,0.00037975,0.0004302,0.00047145,0.0,0.03
in.lj-single,864,16,Modify,0.10246,0.11091,0.12002,1.6,8.72
in.lj-single,864,16,Other,,0.02441,,,1.92
in.lj-single,864,32,Pair,0.35601,0.43703,0.44519,2.2,73.35
in.lj-single,864,32,Neigh,0.03273,0.04086,0.042615,0.8,6.86
in.lj-single,864,32,Comm,0.05872,0.068833,0.16547,6.7,11.55
in.lj-single,864,32,Output,0.00016977,0.00019968,0.0002303,0.0,0.03
in.lj-single,864,32,Modify,0.032724,0.039257,0.041902,0.8,6.59
in.lj-single,864,32,Other,,0.009614,,,1.61
