Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.chute,2048,8,Neigh,0.082783,0.088718,0.12769,4.9,7.44
in.chute,2048,8,Comm,0.04814,0.10481,0.16182,17.3,8.79
in.chute,2048,8,Output,0.00036191,0.013893,0.015964,4.3,1.17
in.chute,2048,8,Modify,0.1461,0.16267,0.24617,7.9,13.64
in.chute,2048,8,Other,,0.4983,,,41.79
in.chute,2048,16,Pair,0.14547,0.18084,0.28787,6.7,27.72
in.chute,2048,16,Neigh,0.032518,0.042798,0.064359,2.9,6.56
in.chute,2048,16,Comm,0.026811,0.070977,0.1061,9.0,10.88
in.chute,2048,16,Output,0.00022954,0.0003275,0.00061515,0.0,0.05
in.chute,2048,16,Modify,0.067419,0.07843,0.11551,3.6,12.02
in.chute,2048,16,Other,,0.2791,,,42.78
in.chute,2048,32,Pair,0.077069,0.095581,0.15829,3.9,25.22
in.chute,2048,32,Neigh,0.016717,0.020856,0.021793,0.9,5.50
in.chute,2048,32,Comm,0.019544,0.046723,0.078908,9.7,12.33
in.chute,2048,32,Output,0.00015772,0.00021035,0.00041306,0.0,0.06
in.chute,2048,32,Modify,0.032703,0.040961,0.050663,1.7,10.81
in.chute,2048,32,Other,,0.1747,,,46.09
in.chute,2048,64,Pair,0.038447,0.046784,0.075687,2.9,22.05
in.chute,2048,64,Neigh,0.0085547,0.01003,0.011052,1.1,4.73
in.chute,2048,64,Comm,0.013817,0.027634,0.044048,6.0,13.02
in.chute,2048,64,Output,8.8795e-05,0.00016275,0.00025915,0.0,0.08
in.chute,2048,64,Modify,0.015469,0.017847,0.032257,1.6,8.41
in.chute,2048,64,Other,,0.1098,,,51.72
in.eam,32,2,Pair,0.96289,1.0539,1.145,8.9,70.68
in.eam,32,2,Neigh,0.060417,0.078063,0.095709,6.3,5.24
in.eam,32,2,Comm,0.2013,0.32499,0.44868,21.7,21.80
in.eam,32,2,Output,0.00011291,0.00011573,0.00011855,0.0,0.01
in.eam,32,2,Modify,0.011993,0.01911,0.026227,5.1,1.28
in.eam,32,2,Other,,0.0149,,,1.00
in.eam,32,4,Pair,0.50276,0.53791,0.63836,7.9,69.49
in.eam,32,4,Neigh,0.030825,0.033767,0.040886,2.3,4.36
in.eam,32,4,Comm,0.086757,0.19361,0.23004,14.0,25.01
in.eam,32,4,Output,6.9305e-05,7.3428e-05,8.0794e-05,0.0,0.01
in.eam,32,4,Modify,0.0049323,0.0055111,0.0059164,0.5,0.71
in.eam,32,4,Other,,0.003178,,,0.41
in.eam,32,8,Pair,0.23272,0.25912,0.33286,6.4,62.59
in.eam,32,8,Neigh,0.015824,0.017624,0.028944,3.2,4.26
in.eam,32,8,Comm,0.048023,0.13262,0.16037,9.9,32.04
in.eam,32,8,Output,5.301e-05,5.5276e-05,6.4047e-05,0.0,0.01
in.eam,32,8,Modify,0.002495,0.0029189,0.0030713,0.3,0.71
in.eam,32,8,Other,,0.001627,,,0.39
in.eam,32,16,Pair,0.13065,0.14365,0.1698,2.6,60.09
in.eam,32,16,Neigh,0.0067129,0.0084013,0.0089263,0.5,3.51
in.eam,32,16,Comm,0.059881,0.080117,0.09673,4.6,33.51
in.eam,32,16,Output,5.7684e-05,6.144e-05,7.4553e-05,0.0,0.03
in.eam,32,16,Modify,0.0013716,0.0016581,0.0017379,0.2,0.69
in.eam,32,16,Other,,0.005166,,,2.16
in.eam,32,32,Pair,0.064499,0.071309,0.090577,2.3,54.59
in.eam,32,32,Neigh,0.0035424,0.0043905,0.0047332,0.4,3.36
in.eam,32,32,Comm,0.033887,0.045737,0.060346,3.5,35.01
in.eam,32,32,Output,5.1756e-05,5.6699e-05,6.6695e-05,0.0,0.04
in.eam,32,32,Modify,0.00072985,0.00089503,0.00095867,0.0,0.69
in.eam,32,32,Other,,0.008244,,,6.31
in.eam,32,64,Pair,0.028116,0.030581,0.071798,3.2,34.76
in.eam,32,64,Neigh,0.0020956,0.0024304,0.0028712,0.3,2.76
in.eam,32,64,Comm,0.011961,0.04392,0.056279,4.3,49.93
in.eam,32,64,Output,4.9649e-05,0.0093105,0.016076,8.2,10.58
in.eam,32,64,Modify,0.00045928,0.00052221,0.00059117,0.0,0.59
in.eam,32,64,Other,,0.001205,,,1.37
in.eam,256,2,Pair,6.4938,7.4784,8.4631,36.0,74.78
in.eam,256,2,Neigh,0.45116,0.66806,0.88496,26.5,6.68
