Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.rhodo,864,1,Pair,1.6508,1.7744,1.8293,3.1,29.90
in.rhodo,864,1,Bond,0.79116,0.81939,0.85686,2.0,13.81
in.rhodo,864,1,Kspace,1.5024,1.5392,1.5702,1.4,25.94
in.rhodo,864,1,Neigh,0.17326,0.17514,0.17696,0.3,2.95
in.rhodo,864,1,Comm,0.26156,0.28712,0.31484,3.9,4.84
in.rhodo,864,1,Output,0.00039293,0.00041951,0.00047931,0.0,0.01
in.rhodo,864,1,Modify,1.1435,1.2463,1.3693,5.6,21.00
in.rhodo,864,1,Other,,0.09193,,,1.55
in.rhodo,864,2,Pair,0.56103,0.60131,0.64781,2.3,15.28
in.rhodo,864,2,Bond,0.78572,0.82113,0.86237,2.0,20.86
in.rhodo,864,2,Kspace,0.80261,0.8426,0.88181,2.0,21.41
in.rhodo,864,2,Neigh,0.16978,0.17228,0.17515,0.3,4.38
in.rhodo,864,2,Comm,0.25794,0.28377,0.30873,3.8,7.21
in.rhodo,864,2,Output,0.0011158,0.0011235,0.0011792,0.0,0.03
in.rhodo,864,2,Modify,1.0583,1.1273,1.202,4.5,28.64
in.rhodo,864,2,Other,,0.08679,,,2.20
in.rhodo,864,2,Pair,0.55337,0.59473,0.65775,2.6,14.57
in.rhodo,864,2,Bond,0.79151,0.82039,0.85212,2.0,20.10
in.rhodo,864,2,Kspace,0.87702,0.91596,0.95314,2.2,22.44
in.rhodo,864,2,Neigh,0.19007,0.19313,0.19606,0.3,4.73
in.rhodo,864,2,Comm,0.27365,0.30093,0.33329,3.8,7.37
in.rhodo,864,2,Output,0.00039935,0.00041505,0.00045685,0.0,0.01
in.rhodo,864,2,Modify,1.0743,1.1715,1.2388,4.2,28.70
in.rhodo,864,2,Other,,0.08501,,,2.08
in.rhodo,864,2,Pair,1.0803,1.1323,1.1835,2.2,21.87
in.rhodo,864,2,Bond,0.78988,0.82351,0.86748,2.2,15.90
in.rhodo,864,2,Kspace,1.4716,1.5184,1.5599,1.8,29.32
in.rhodo,864,2,Neigh,0.17649,0.17999,0.18371,0.3,3.48
in.rhodo,864,2,Comm,0.26511,0.29037,0.31689,3.7,5.61
in.rhodo,864,2,Output,0.00038663,0.0004023,0.00047209,0.0,0.01
in.rhodo,864,2,Modify,1.0624,1.1522,1.2507,4.9,22.25
in.rhodo,864,2,Other,,0.08055,,,1.56
in.rhodo,864,4,Pair,0.31819,0.34921,0.3795,2.6,10.36
in.rhodo,864,4,Bond,0.79521,0.82546,0.87136,2.4,24.50
in.rhodo,864,4,Kspace,0.53805,0.57933,0.61944,3.0,17.19
in.rhodo,864,4,Neigh,0.17587,0.17844,0.18097,0.3,5.30
in.rhodo,864,4,Comm,0.26319,0.28774,0.31517,3.7,8.54
in.rhodo,864,4,Output,0.00038155,0.00039684,0.00045762,0.0,0.01
in.rhodo,864,4,Modify,1.0022,1.0679,1.131,4.3,31.69
in.rhodo,864,4,Other,,0.08098,,,2.40
