Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.eam-single,32,4,Modify,0.0012883,0.0014834,0.0015921,0.2,1.11
in.eam-single,32,4,Other,,0.008863,,,6.63
in.eam-single,32,6,Pair,0.081187,0.085582,0.089316,0.8,66.47
in.eam-single,32,6,Neigh,8.0237e-05,8.8185e-05,0.0001033,0.0,0.07
in.eam-single,32,6,Comm,0.029234,0.031879,0.035422,0.9,24.76
in.eam-single,32,6,Output,0.00015099,0.00040455,0.00064632,0.0,0.31
in.eam-single,32,6,Modify,0.0010769,0.0011453,0.0012625,0.2,0.89
in.eam-single,32,6,Other,,0.009647,,,7.49
in.eam-single,32,8,Pair,0.07849,0.083956,0.090519,1.0,65.61
in.eam-single,32,8,Neigh,6.5296e-05,7.1822e-05,8.1954e-05,0.0,0.06
in.eam-single,32,8,Comm,0.030039,0.03356,0.03655,1.0,26.23
in.eam-single,32,8,Output,0.00013801,0.0004514,0.00070708,0.0,0.35
in.eam-single,32,8,Modify,0.0009177,0.00098786,0.0011529,0.0,0.77
in.eam-single,32,8,Other,,0.008931,,,6.98
in.eam-single,256,1,Pair,0.38226,0.39744,0.4127,1.5,69.12
in.eam-single,256,1,Neigh,0.0008263,0.00086514,0.00096191,0.0,0.15
in.eam-single,256,1,Comm,0.098125,0.11161,0.12258,2.0,19.41
in.eam-single,256,1,Output,0.00077652,0.0024144,0.0039563,1.9,0.42
in.eam-single,256,1,Modify,0.0088336,0.0091936,0.0096851,0.3,1.60
in.eam-single,256,1,Other,,0.05351,,,9.30
in.eam-single,256,2,Pair,0.27956,0.30758,0.32642,2.0,65.70
in.eam-single,256,2,Neigh,0.00049646,0.00061686,0.0010932,0.0,0.13
in.eam-single,256,2,Comm,0.093521,0.10727,0.12777,2.5,22.91
in.eam-single,256,2,Output,0.00079869,0.0019949,0.0032101,1.4,0.43
in.eam-single,256,2,Modify,0.0042691,0.0050954,0.0066993,0.9,1.09
in.eam-single,256,2,Other,,0.04561,,,9.74
in.eam-single,256,4,Pair,0.21468,0.22638,0.23704,1.2,67.13
in.eam-single,256,4,Neigh,0.00040117,0.00044107,0.0004733,0.0,0.13
in.eam-single,256,4,Comm,0.068427,0.076361,0.085409,1.5,22.64
in.eam-single,256,4,Output,0.00028277,0.0013062,0.0022984,1.6,0.39
in.eam-single,256,4,Modify,0.0036312,0.0041053,0.0048466,0.3,1.22
in.eam-single,256,4,Other,,0.02865,,,8.49
in.eam-single,256,6,Pair,0.1927,0.2057,0.22088,1.1,64.59
in.eam-single,256,6,Neigh,0.00027114,0.0003012,0.00032328,0.0,0.09
in.eam-single,256,6,Comm,0.063329,0.07515,0.084152,1.4,23.60
in.eam-single,256,6,Output,0.00031255,0.0014031,0.0022796,1.3,0.44
in.eam-single,256,6,Modify,0.0027947,0.0029769,0.0033545,0.2,0.93
in.eam-single,256,6,Other,,0.03296,,,10.35
in.eam-single,256,8,Pair,0.16703,0.17247,0.18117,0.7,64.76
in.eam-single,256,8,Neigh,0.00026053,0.00029686,0.00044813,0.0,0.11
in.eam-single,256,8,Comm,0.06198,0.066876,0.071678,0.8,25.11
in.eam-single,256,8,Output,0.00022411,0.0010719,0.0017314,1.3,0.40
in.eam-single,256,8,Modify,0.0027778,0.0029593,0.0032315,0.2,1.11
in.eam-single,256,8,Other,,0.02266,,,8.51
